nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;73.58;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;76.78;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;77.72;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;83.38;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.35;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;81.21;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;78.13;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;81.54;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.62;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;77.69;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;83.1;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;87.09;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;81.02;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;69.19;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;85.08;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.87;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.68;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;72.18;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;80.91;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;73.85;"KALIMANTAN SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.44;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;82.32;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;73.74;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;75.79;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;81.3;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;83.29;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;63.87;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;67.38;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;75.63;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;77.47;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;73.09;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2006;Tahun;78.23;INDONESIA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;66.98;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;64.99;"SUMATERA UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;70.08;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;73.17;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;75.88;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;76.49;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;79.32;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;77.57;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;77.86;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;81.11;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;82.98;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;77.37;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;80.74;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;81.87;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;78.47;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;70.64;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;80.26;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;81.11;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;79.53;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;66.32;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;71.38;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;70.48;"KALIMANTAN SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;79.41;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;78.26;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;70.63;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;72.65;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;75.88;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;79.61;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;67.13;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;70.39;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;69.81;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;65.76;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;67.88;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2007;Tahun;75.9;INDONESIA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;71.86;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;66.07;"SUMATERA UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;69.59;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;72.89;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;73.66;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;75.28;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;80.43;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;79.53;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;74.96;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;78.04;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;76.86;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;76.23;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;80.3;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;84.35;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;78.03;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;66.1;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;83.05;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;80.23;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;79.13;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;69.43;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;75.32;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;72.3;"KALIMANTAN SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;79.72;"KALIMANTAN TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;-;"KALIMANTAN UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;80.97;"SULAWESI UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;72.04;"SULAWESI TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;73.89;"SULAWESI SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;77.45;"SULAWESI TENGGARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;77.73;GORONTALO
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;65.76;"SULAWESI BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;67.88;MALUKU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;71.81;"MALUKU UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;72.47;"PAPUA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;58.63;PAPUA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2008;Tahun;75.39;INDONESIA
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;74.08;ACEH
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;69.27;"SUMATERA UTARA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;71.92;"SUMATERA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;75.29;RIAU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;75.5;JAMBI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;77.18;"SUMATERA SELATAN"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;79.57;BENGKULU
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;79.12;LAMPUNG
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;76.85;"KEP. BANGKA BELITUNG"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;78.19;"KEP. RIAU"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;79.03;"DKI JAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;79.31;"JAWA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;81.36;"JAWA TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;83.61;"DI YOGYAKARTA"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;78.03;"JAWA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;73.49;BANTEN
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;82.96;BALI
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;80.94;"NUSA TENGGARA BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;78.76;"NUSA TENGGARA TIMUR"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;71.47;"KALIMANTAN BARAT"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;79.25;"KALIMANTAN TENGAH"
"Persentase Balita yang Pernah Mendapat Imunisasi Campak";"Tidak Ada";2009;Tahun;71.46;"KALIMANTAN SELATAN"
